Punto,Nombre Punto,Ubicación,Consumo kWh,Consumo Base kWh,Eficiencia %,Estado,Fecha
"N3","Aula Multimedia 202","Edificio Académico",0,6,0.0,"inactivo","2026-02-12T22:19:47.408Z"
"N4","Aula Virtual 303","Edificio Académico",0,4.8,0.0,"inactivo","2026-02-12T22:19:47.408Z"
"N8","Estacionamiento Techado","Área Externa",0,2.5,0.0,"inactivo","2026-02-12T22:19:47.408Z"
"N1","Auditorio Principal","Edificio Cultural",0,15.5,0.0,"inactivo","2026-02-12T22:19:47.408Z"
"N11","Laboratorio de Cómputo A","Edificio de Ingeniería",0,12,0.0,"inactivo","2026-02-12T22:19:47.408Z"
"N2","Aula Magna 101","Edificio Académico",0,5.5,0.0,"inactivo","2026-02-12T22:19:47.408Z"
"N12","Laboratorio de Cómputo B","Edificio de Ingeniería",13.61,11.5,118.3,"activo","2026-02-12T22:19:47.408Z"
"N6","Cafetería Estudiantil","Edificio de Servicios",0,20,0.0,"inactivo","2026-02-12T22:19:47.408Z"
"N5","Biblioteca Central","Edificio de Servicios",11.8,12,98.3,"activo","2026-02-12T22:19:47.408Z"
"N9","Gimnasio Deportivo","Edificio Deportivo",0,15,0.0,"inactivo","2026-02-12T22:19:47.408Z"
"N10","Sala de Servidores","Edificio Tecnológico",0,50,0.0,"inactivo","2026-02-12T22:19:47.408Z"
"N7","Centro de Datos","Edificio Tecnológico",0,60,0.0,"inactivo","2026-02-12T22:19:47.408Z"
"N6","Cafetería Estudiantil","Edificio de Servicios",0,20,0.0,"inactivo","2026-02-12T22:19:37.407Z"
"N5","Biblioteca Central","Edificio de Servicios",14.14,12,117.8,"activo","2026-02-12T22:19:37.407Z"
"N3","Aula Multimedia 202","Edificio Académico",0,6,0.0,"inactivo","2026-02-12T22:19:37.407Z"
"N12","Laboratorio de Cómputo B","Edificio de Ingeniería",13.56,11.5,117.9,"activo","2026-02-12T22:19:37.407Z"
"N7","Centro de Datos","Edificio Tecnológico",0,60,0.0,"inactivo","2026-02-12T22:19:37.407Z"
"N8","Estacionamiento Techado","Área Externa",0,2.5,0.0,"inactivo","2026-02-12T22:19:37.407Z"
"N11","Laboratorio de Cómputo A","Edificio de Ingeniería",0,12,0.0,"inactivo","2026-02-12T22:19:37.407Z"
"N2","Aula Magna 101","Edificio Académico",0,5.5,0.0,"inactivo","2026-02-12T22:19:37.407Z"
"N9","Gimnasio Deportivo","Edificio Deportivo",0,15,0.0,"inactivo","2026-02-12T22:19:37.407Z"
