Punto,Nombre Punto,Ubicación,Consumo kWh,Consumo Base kWh,Eficiencia %,Estado,Fecha
"N1","Auditorio Principal","Edificio Cultural",17.32,15.5,111.7,"activo","2026-02-27 09:45:00"
"N7","Centro de Datos","Edificio Tecnológico",61.11,60,101.8,"activo","2026-02-27 09:45:00"
"N4","Aula Virtual 303","Edificio Académico",4.5,4.8,93.8,"activo","2026-02-27 09:45:00"
"N11","Laboratorio de Cómputo A","Edificio de Ingeniería",12.47,12,103.9,"activo","2026-02-27 09:45:00"
"N6","Cafetería Estudiantil","Edificio de Servicios",17.68,20,88.4,"activo","2026-02-27 09:45:00"
"N8","Estacionamiento Techado","Área Externa",2.54,2.5,101.6,"activo","2026-02-27 09:45:00"
"N5","Biblioteca Central","Edificio de Servicios",13.31,12,110.9,"activo","2026-02-27 09:45:00"
"N3","Aula Multimedia 202","Edificio Académico",6.06,6,101.0,"activo","2026-02-27 09:45:00"
"N12","Laboratorio de Cómputo B","Edificio de Ingeniería",12.48,11.5,108.5,"activo","2026-02-27 09:45:00"
"N10","Sala de Servidores","Edificio Tecnológico",40.85,50,81.7,"activo","2026-02-27 09:45:00"
"N2","Aula Magna 101","Edificio Académico",6.29,5.5,114.4,"activo","2026-02-27 09:45:00"
"N9","Gimnasio Deportivo","Edificio Deportivo",14.04,15,93.6,"activo","2026-02-27 09:45:00"
"N10","Sala de Servidores","Edificio Tecnológico",54.15,50,108.3,"activo","2026-02-27 08:45:00"
"N11","Laboratorio de Cómputo A","Edificio de Ingeniería",13.43,12,111.9,"activo","2026-02-27 08:45:00"
"N8","Estacionamiento Techado","Área Externa",2.95,2.5,118.0,"activo","2026-02-27 08:45:00"
"N12","Laboratorio de Cómputo B","Edificio de Ingeniería",9.3,11.5,80.9,"activo","2026-02-27 08:45:00"
"N4","Aula Virtual 303","Edificio Académico",5.4,4.8,112.5,"activo","2026-02-27 08:45:00"
"N2","Aula Magna 101","Edificio Académico",5.97,5.5,108.5,"activo","2026-02-27 08:45:00"
"N1","Auditorio Principal","Edificio Cultural",13.96,15.5,90.1,"activo","2026-02-27 08:45:00"
"N9","Gimnasio Deportivo","Edificio Deportivo",15.46,15,103.1,"activo","2026-02-27 08:45:00"
"N5","Biblioteca Central","Edificio de Servicios",11.24,12,93.7,"activo","2026-02-27 08:45:00"
"N7","Centro de Datos","Edificio Tecnológico",61.21,60,102.0,"activo","2026-02-27 08:45:00"
"N6","Cafetería Estudiantil","Edificio de Servicios",23.93,20,119.6,"activo","2026-02-27 08:45:00"
"N3","Aula Multimedia 202","Edificio Académico",4.87,6,81.2,"activo","2026-02-27 08:45:00"
"N4","Aula Virtual 303","Edificio Académico",4.11,4.8,85.6,"activo","2026-02-27 07:45:00"
"N8","Estacionamiento Techado","Área Externa",2.44,2.5,97.6,"activo","2026-02-27 07:45:00"
"N12","Laboratorio de Cómputo B","Edificio de Ingeniería",11.75,11.5,102.2,"activo","2026-02-27 07:45:00"
"N9","Gimnasio Deportivo","Edificio Deportivo",16.93,15,112.9,"activo","2026-02-27 07:45:00"
