Punto,Nombre Punto,Ubicación,Consumo kWh,Consumo Base kWh,Eficiencia %,Estado,Fecha
"N5","Biblioteca Central","Edificio de Servicios",14.33,12,119.4,"activo","2026-02-26 23:45:00"
"N5","Biblioteca Central","Edificio de Servicios",11,12,91.7,"activo","2026-02-26 22:45:00"
"N5","Biblioteca Central","Edificio de Servicios",10.08,12,84.0,"activo","2026-02-26 21:45:00"
"N5","Biblioteca Central","Edificio de Servicios",12.86,12,107.2,"activo","2026-02-26 20:45:00"
"N5","Biblioteca Central","Edificio de Servicios",13.41,12,111.8,"activo","2026-02-26 19:45:00"
"N5","Biblioteca Central","Edificio de Servicios",12.99,12,108.3,"activo","2026-02-26 18:45:00"
"N5","Biblioteca Central","Edificio de Servicios",10.88,12,90.7,"activo","2026-02-26 17:45:00"
"N5","Biblioteca Central","Edificio de Servicios",14.1,12,117.5,"activo","2026-02-26 16:45:00"
"N5","Biblioteca Central","Edificio de Servicios",10.43,12,86.9,"activo","2026-02-26 15:45:00"
"N5","Biblioteca Central","Edificio de Servicios",12.37,12,103.1,"activo","2026-02-26 14:45:00"
"N5","Biblioteca Central","Edificio de Servicios",10.01,12,83.4,"activo","2026-02-26 13:45:00"
"N5","Biblioteca Central","Edificio de Servicios",10.68,12,89.0,"activo","2026-02-26 12:45:00"
"N5","Biblioteca Central","Edificio de Servicios",10.11,12,84.2,"activo","2026-02-26 11:45:00"
"N5","Biblioteca Central","Edificio de Servicios",13.13,12,109.4,"activo","2026-02-26 10:45:00"
"N5","Biblioteca Central","Edificio de Servicios",10.51,12,87.6,"activo","2026-02-26 09:45:00"
"N5","Biblioteca Central","Edificio de Servicios",14.25,12,118.8,"activo","2026-02-26 08:45:00"
"N5","Biblioteca Central","Edificio de Servicios",12.07,12,100.6,"activo","2026-02-26 07:45:00"
"N5","Biblioteca Central","Edificio de Servicios",11.46,12,95.5,"activo","2026-02-26 06:45:00"
"N5","Biblioteca Central","Edificio de Servicios",13.58,12,113.2,"activo","2026-02-26 05:45:00"
"N5","Biblioteca Central","Edificio de Servicios",12.87,12,107.3,"activo","2026-02-26 04:45:00"
"N5","Biblioteca Central","Edificio de Servicios",13.4,12,111.7,"activo","2026-02-26 03:45:00"
"N5","Biblioteca Central","Edificio de Servicios",12.1,12,100.8,"activo","2026-02-26 02:45:00"
"N5","Biblioteca Central","Edificio de Servicios",9.74,12,81.2,"activo","2026-02-26 01:45:00"
"N5","Biblioteca Central","Edificio de Servicios",10.41,12,86.8,"activo","2026-02-26 00:45:00"
"N5","Biblioteca Central","Edificio de Servicios",11.09,12,92.4,"activo","2026-02-25 23:45:00"
"N5","Biblioteca Central","Edificio de Servicios",11.47,12,95.6,"activo","2026-02-25 22:45:00"
"N5","Biblioteca Central","Edificio de Servicios",12.52,12,104.3,"activo","2026-02-25 21:45:00"
"N5","Biblioteca Central","Edificio de Servicios",12.98,12,108.2,"activo","2026-02-25 20:45:00"
"N5","Biblioteca Central","Edificio de Servicios",12.8,12,106.7,"activo","2026-02-25 19:45:00"
"N5","Biblioteca Central","Edificio de Servicios",14.27,12,118.9,"activo","2026-02-25 18:45:00"
"N5","Biblioteca Central","Edificio de Servicios",9.79,12,81.6,"activo","2026-02-25 17:45:00"
"N5","Biblioteca Central","Edificio de Servicios",10.11,12,84.2,"activo","2026-02-25 16:45:00"
"N5","Biblioteca Central","Edificio de Servicios",12.39,12,103.3,"activo","2026-02-25 15:45:00"
"N5","Biblioteca Central","Edificio de Servicios",11.81,12,98.4,"activo","2026-02-25 14:45:00"
"N5","Biblioteca Central","Edificio de Servicios",12.82,12,106.8,"activo","2026-02-25 13:45:00"
"N5","Biblioteca Central","Edificio de Servicios",10.59,12,88.3,"activo","2026-02-25 12:45:00"
"N5","Biblioteca Central","Edificio de Servicios",11.63,12,96.9,"activo","2026-02-25 11:45:00"
"N5","Biblioteca Central","Edificio de Servicios",13.03,12,108.6,"activo","2026-02-25 10:45:00"
"N5","Biblioteca Central","Edificio de Servicios",13.96,12,116.3,"activo","2026-02-25 09:45:00"
